
===========================
ERBE SW Anisotropic Factors
===========================

Rows correspond to different viewing zenith angle ranges (0-15, 15-27, etc.).
Columns correspond to different relative azimuth angle ranges (0-9, 9-30, etc.).

Reference: Suttles, J. T., R. N. Green, P. Minnis, G. L. Smith, W. F. Staylor, B. A. Wielicki, I. J. Walker, 
           D. F. Young, V. R. Taylor, and L. L. Stowe, 1988: Angular radiation models for Earth-atmosphere 
           system. Volume 1: Shortwave radiation, NASA-RP-1184, 148pp, [online] Available: 
           https://hdl.handle.net/2060/19880018293.
	   
	   
=====================  
Scene 1 - Clear Ocean
=====================    
 solar zenith angle range =  0.00 - 25.84
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          1.075       1.075       1.075       1.075       1.075       1.075       1.075       1.075
   15 - 27          1.057       0.989       1.033       1.037       1.043       1.081       1.094       1.124
   27 - 39          0.934       0.982       1.006       1.014       1.037       1.053       1.089       1.081
   39 - 51          0.920       0.951       0.939       0.996       1.021       1.025       1.048       1.033
   51 - 63          0.908       0.927       0.910       0.983       0.988       1.007       1.017       1.012
   63 - 75          0.913       0.928       0.907       0.937       0.974       0.996       0.984       0.994
   75 - 90          0.944       0.930       0.905       0.872       0.975       0.976       0.958       0.983
 solar zenith angle range = 25.84 - 36.87
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.992       0.992       0.992       0.992       0.992       0.992       0.992       0.992
   15 - 27          0.991       0.887       0.951       0.969       1.006       1.045       1.082       1.156
   27 - 39          0.954       0.945       0.918       0.947       0.979       1.056       1.170       1.183
   39 - 51          0.837       0.894       0.874       0.971       1.006       1.139       1.150       1.207
   51 - 63          0.984       0.897       0.896       1.010       0.967       1.096       1.135       1.160
   63 - 75          0.996       0.917       0.892       0.927       0.941       1.031       1.174       1.099
   75 - 90          1.112       1.018       0.949       0.894       0.960       1.049       1.153       1.098
 solar zenith angle range = 36.87 - 45.57
                  0 -   9      9 -  30     30 -  60     60 -  90    90 - 120   120 - 150   150 - 171   171 - 180 
    0 - 15          0.933       0.933       0.933       0.933       0.933       0.933       0.933       0.933
   15 - 27          0.925       0.841       0.923       0.927       0.972       1.022       1.038       1.075
   27 - 39          0.855       0.888       0.866       0.926       0.967       1.096       1.118       1.131
   39 - 51          0.932       0.876       0.898       0.946       0.967       1.111       1.164       1.277
   51 - 63          0.954       0.887       0.939       0.923       0.996       1.138       1.204       1.240
   63 - 75          1.020       0.971       1.030       0.896       0.956       1.118       1.216       1.251
   75 - 90          1.129       1.115       1.048       0.908       1.002       1.187       1.216       1.281
